MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS,MolWt_log,MolWt_squared,MolWt_cubed,MolLogP_squared,MolLogP_abs,MolLogP_signed_sqrt,Flexibility_Index,Rigidity_Score,Aromatic_Index,Aromatic_Score,Lipinski_MW,Lipinski_LogP,Lipinski_Score,Sol_Heuristic_1,Sol_Heuristic_2,MW_LogP_Interaction,MW_Aromatic_Interaction,LogP_Rotatable_Interaction,Complexity_Score,Polarity_Estimate,MW_Bin_L,MW_Bin_M,MW_Bin_H,MW_Bin_VH,LogP_Bin_L,LogP_Bin_M,LogP_Bin_H,LogP_Bin_VH,Rotatable_Bin_L,Rotatable_Bin_M,Rotatable_Bin_H,Rotatable_Bin_VH,Z_Score_MolWt,Z_Score_LogP,MW_per_RotatableBond,LogP_per_MW
3.6468000000000007,181.449,0.0,0.6666666666666666,-4.0,5.206470681913751,32923.739601,5973979.62686185,13.299150240000005,3.6468000000000007,1.909659655540746,0.0,1.0,66.66666666666666,2.4312000000000005,1,1,2,-0.7649370000000001,0.1,0.6617082132000002,120.96600000000001,0.0,0.0,0.2668944165688053,True,False,False,False,False,False,True,False,False,False,False,False,-0.22590685996747248,0.6418354797110363,181.449,2.008713900930328
2.611860000000001,120.195,0.0,0.6666666666666666,-3.2,4.797400818658827,14446.838025,1736437.6964148746,6.821812659600005,2.611860000000001,1.6161249951659065,0.0,1.0,66.66666666666666,1.7412400000000006,1,1,2,-0.5380926000000001,0.1,0.31393251270000005,80.13,0.0,0.0,0.3687505992197236,False,False,False,False,False,True,False,False,False,False,False,False,-0.8228051430517334,0.08720609423590323,120.195,2.171212436094602
4.7366,393.698,0.0,0.6,-6.98,5.978120915516364,154998.11520399997,61022447.959584385,22.43537956,4.7366,2.176373129773477,0.0,1.0,60.0,2.84196,1,1,2,-1.151554,0.12,1.8647899468,236.2188,0.0,0.0,0.2067568126369764,False,True,False,False,False,False,True,False,False,False,False,False,1.8423835975757283,1.2258646063181824,393.698,1.202799404770974
4.3002,215.894,0.0,0.6,-5.56,5.379408754932925,46610.219236000004,10062866.671736985,18.49172004,4.3002,2.0736923590542546,0.0,1.0,60.0,2.58012,1,1,2,-0.9039260000000001,0.12,0.9283873788000001,129.5364,0.0,0.0,0.22726239716376528,True,False,False,False,False,False,True,False,False,False,False,False,0.1097473236097201,0.9919957213380405,215.894,1.9908886357954392
2.9202800000000018,134.22199999999998,0.0,0.6,-4.59,4.906917872264583,18015.545283999996,2418082.519109047,8.52803527840001,2.9202800000000018,1.7088826759025915,0.0,1.0,60.0,1.752168000000001,1,1,2,-0.6014668000000003,0.12,0.3919658221600002,80.53319999999998,0.0,0.0,0.33109513025282405,False,False,False,False,False,True,False,False,False,False,False,False,-0.686117053835961,0.2524898740378637,134.22199999999998,2.1740891291076685
3.974100000000001,314.802,0.0,0.6666666666666666,-4.5,5.755115434923717,99100.29920400001,31196972.390017614,15.793470810000008,3.974100000000001,1.9935144845222472,0.0,1.0,66.66666666666666,2.6494000000000004,1,1,2,-0.9506580000000002,0.1,1.2510546282000004,209.868,0.0,0.0,0.2454529834810142,True,False,False,False,False,False,True,False,False,False,False,False,1.073570345507034,0.8172371434461427,314.802,1.2620116734730171
3.6468000000000007,181.449,0.0,0.6666666666666666,-3.59,5.206470681913751,32923.739601,5973979.62686185,13.299150240000005,3.6468000000000007,1.909659655540746,0.0,1.0,66.66666666666666,2.4312000000000005,1,1,2,-0.7649370000000001,0.1,0.6617082132000002,120.96600000000001,0.0,0.0,0.2668944165688053,True,False,False,False,False,False,True,False,False,False,False,False,-0.22590685996747248,0.6418354797110363,181.449,2.008713900930328
2.611860000000001,120.195,0.0,0.6666666666666666,-3.31,4.797400818658827,14446.838025,1736437.6964148746,6.821812659600005,2.611860000000001,1.6161249951659065,0.0,1.0,66.66666666666666,1.7412400000000006,1,1,2,-0.5380926000000001,0.1,0.31393251270000005,80.13,0.0,0.0,0.3687505992197236,False,False,False,False,False,True,False,False,False,False,False,False,-0.8228051430517334,0.08720609423590323,120.195,2.171212436094602
1.0978,110.11199999999998,0.0,0.75,0.62,4.710538701613918,12124.652543999995,1335069.7409249274,1.2051648400000003,1.0978,1.0477595143924965,0.0,1.0,75.0,0.82335,1,1,2,-0.28576,0.075,0.12088095359999998,82.58399999999999,0.0,0.0,0.8348639171814993,False,False,False,False,False,True,False,False,False,False,False,False,-0.9210603653774363,-0.7241860322375934,110.11199999999998,0.9960802816390233
3.2116000000000007,235.906,0.0,0.75,-3.5,5.467663437986268,55651.640836000006,13128555.983057417,10.314374560000005,3.2116000000000007,1.7920937475478231,0.0,1.0,75.0,2.4087000000000005,1,1,2,-0.749762,0.075,0.7576357096000002,176.92950000000002,0.0,0.0,0.30196883681604053,True,False,False,False,False,False,True,False,False,False,False,False,0.304757093438339,0.40860968057410274,235.906,1.3608128606899828
1.7762,187.862,1.0,0.0,-1.68,5.24101658963377,35292.131044,6630050.322187928,3.15488644,1.7762,1.3327415353323389,0.3473886792977191,0.5,0.0,0.0,1,1,2,-0.472054,0.27999999999999997,0.33368048440000003,0.0,1.7762,0.187862,0.5329922183136125,True,False,False,False,False,True,False,False,False,False,False,False,-0.1634144727042839,-0.36062816887707944,93.931,0.9449782402826103
2.9934000000000003,147.00399999999996,0.0,0.75,-3.05,4.997239300425918,21610.17601599999,3176782.3150560614,8.960443560000002,2.9934000000000003,1.7301445026355458,0.0,1.0,75.0,2.24505,1,1,2,-0.6259480000000001,0.075,0.44004177359999996,110.25299999999997,0.0,0.0,0.32326889506691664,False,False,False,False,False,True,False,False,False,False,False,False,-0.5615610435446656,0.29167523808403156,147.00399999999996,2.0348868827496203
1.464,98.96,1.0,0.0,-1.06,4.604770105966751,9793.0816,969123.3551359999,2.143296,1.464,1.2099586769803339,0.5026135906714918,0.5,0.0,0.0,1,1,2,-0.3332,0.27999999999999997,0.14487743999999997,0.0,1.464,0.09895999999999999,0.639386189258312,False,False,False,False,False,True,False,False,False,False,False,False,-1.029732609687288,-0.5279376690851462,49.48,1.4778921865536039
1.8525,112.987,1.0,0.0,-1.6,4.736084406804281,12766.062168999999,1442399.0662888028,3.4317562500000003,1.8525,1.36106575888162,0.46951222375074536,0.5,0.0,0.0,1,1,2,-0.409387,0.27999999999999997,0.20930841749999998,0.0,1.8525,0.11298699999999999,0.5121638924455826,False,False,False,False,False,True,False,False,False,False,False,False,-0.8930445204715157,-0.3197386273464084,56.4935,1.6381193240602372
2.6495999999999995,170.92000000000002,1.0,0.0,-2.74,5.147029252334255,29213.646400000005,4993196.442688001,7.0203801599999975,2.6495999999999995,1.6277591959500641,0.36911265318175107,0.5,0.0,0.0,1,1,2,-0.594856,0.27999999999999997,0.45286963199999997,0.0,2.6495999999999995,0.17092000000000002,0.36368926389292994,True,False,False,False,False,True,False,False,False,False,False,False,-0.3285081924942328,0.10743114400480841,85.46000000000001,1.5492924804116475
1.0594,118.176,5.0,0.0,-0.77,4.780601392077291,13965.566976,1650394.842955776,1.1223283599999998,1.0594,1.0292715870944849,2.2917277794074513,0.16666666666666666,0.0,0.0,1,1,2,-0.28768,0.19999999999999998,0.1251956544,0.0,5.297,0.59088,0.8625150940141453,False,False,False,False,False,True,False,False,True,False,False,False,-0.8424795746569692,-0.7447647792202641,19.696,0.8957015793567589
2.811400000000001,134.22199999999998,2.0,0.6,-3.28,4.906917872264583,18015.545283999996,2418082.519109047,7.903969960000005,2.811400000000001,1.676722994414999,0.8538907532170336,0.3333333333333333,60.0,1.6868400000000003,1,1,2,-0.5840460000000001,0.07999999999999999,0.37735173080000006,80.53319999999998,5.622800000000002,0.26844399999999996,0.3434773648416568,False,False,False,False,False,True,False,False,False,False,False,False,-0.686117053835961,0.1941405518640826,44.74066666666666,2.093030181206356
1.503,168.10799999999995,2.0,0.5,-3.1,5.130537564069932,28260.299663999984,4750782.455915707,2.259009,1.503,1.225969004502153,0.7459680427290496,0.3333333333333333,50.0,0.7515,1,1,2,-0.40858799999999995,0.10999999999999999,0.2526663239999999,84.05399999999997,3.006,0.3362159999999999,0.6238303181534622,False,False,False,False,False,True,False,False,False,False,False,False,-0.3559101249726503,-0.5070373791808714,56.03599999999998,0.8935365737658141
0.4051,58.08,0.0,0.0,-0.59,4.078892457663179,3373.2864,195920.474112,0.16410601000000002,0.4051,0.6364746656387825,0.0,1.0,0.0,0.0,1,1,2,-0.122896,0.3,0.023528208,0.0,0.0,0.0,1.9798059790140567,False,False,False,False,False,True,False,False,False,False,False,False,-1.4280935626452103,-1.095407335229675,58.08,0.6962873839807494
3.974100000000001,314.802,0.0,0.6666666666666666,-5.6,5.755115434923717,99100.29920400001,31196972.390017614,15.793470810000008,3.974100000000001,1.9935144845222472,0.0,1.0,66.66666666666666,2.6494000000000004,1,1,2,-0.9506580000000002,0.1,1.2510546282000004,209.868,0.0,0.0,0.2454529834810142,True,False,False,False,False,False,True,False,False,False,False,False,1.073570345507034,0.8172371434461427,314.802,1.2620116734730171
3.6468000000000007,181.449,0.0,0.6666666666666666,-4.48,5.206470681913751,32923.739601,5973979.62686185,13.299150240000005,3.6468000000000007,1.909659655540746,0.0,1.0,66.66666666666666,2.4312000000000005,1,1,2,-0.7649370000000001,0.1,0.6617082132000002,120.96600000000001,0.0,0.0,0.2668944165688053,True,False,False,False,False,False,True,False,False,False,False,False,-0.22590685996747248,0.6418354797110363,181.449,2.008713900930328
2.611860000000001,120.19499999999998,0.0,0.6666666666666666,-3.4,4.797400818658827,14446.838024999995,1736437.6964148742,6.821812659600005,2.611860000000001,1.6161249951659065,0.0,1.0,66.66666666666666,1.7412400000000006,1,1,2,-0.5380926000000001,0.1,0.31393251270000005,80.12999999999998,0.0,0.0,0.3687505992197236,False,False,False,False,False,True,False,False,False,False,False,False,-0.8228051430517335,0.08720609423590323,120.19499999999998,2.171212436094602
1.4112,213.105,3.0,0.4,-2.89,5.366466548896043,45413.741024999996,9677895.281132624,1.99148544,1.4112,1.1879393923933999,0.9581450312195589,0.25,40.0,0.56448,1,1,2,-0.438897,0.12,0.30073377599999995,85.242,4.2336,0.639315,0.6617257808364213,True,False,False,False,False,True,False,False,False,False,False,False,0.08256951789055053,-0.5562334461863182,53.27625,0.6618981731197674
1.0978,110.11199999999998,0.0,0.75,0.81,4.710538701613918,12124.652543999995,1335069.7409249274,1.2051648400000003,1.0978,1.0477595143924965,0.0,1.0,75.0,0.82335,1,1,2,-0.28576,0.075,0.12088095359999998,82.58399999999999,0.0,0.0,0.8348639171814993,False,False,False,False,False,True,False,False,False,False,False,False,-0.9210603653774363,-0.7241860322375934,110.11199999999998,0.9960802816390233
1.3584,54.09199999999999,1.0,0.0,-1.87,4.009004515055085,2925.9444639999992,158270.18794668792,1.8452505600000002,1.3584,1.1655041827466772,0.6489629571944034,0.5,0.0,0.0,1,1,2,-0.271436,0.27999999999999997,0.07347857279999999,0.0,1.3584,0.054091999999999994,0.6856829402084476,False,False,False,False,False,True,False,False,False,False,False,False,-1.466955193770362,-0.5845292232874904,27.045999999999996,2.5066430469441987
3.2116000000000007,235.906,0.0,0.75,-3.54,5.467663437986268,55651.640836000006,13128555.983057417,10.314374560000005,3.2116000000000007,1.7920937475478231,0.0,1.0,75.0,2.4087000000000005,1,1,2,-0.749762,0.075,0.7576357096000002,176.92950000000002,0.0,0.0,0.30196883681604053,True,False,False,False,False,False,True,False,False,False,False,False,0.304757093438339,0.40860968057410274,235.906,1.3608128606899828
2.993400000000001,147.004,0.0,0.75,-3.04,4.997239300425918,21610.176015999998,3176782.3150560632,8.960443560000007,2.993400000000001,1.7301445026355462,0.0,1.0,75.0,2.245050000000001,1,1,2,-0.6259480000000002,0.075,0.4400417736000002,110.25299999999999,0.0,0.0,0.32326889506691653,False,False,False,False,False,True,False,False,False,False,False,False,-0.5615610435446653,0.291675238084032,147.004,2.0348868827496203
1.8541,112.987,2.0,0.0,-1.62,4.736084406804281,12766.062168999999,1442399.0662888028,3.43768681,1.8541,1.361653406708183,0.9390244475014907,0.3333333333333333,0.0,0.0,1,1,2,-0.40964300000000003,0.26,0.20948919670000002,0.0,3.7082,0.22597399999999998,0.5117445371270661,False,False,False,False,False,True,False,False,False,False,False,False,-0.8930445204715157,-0.3188811795554638,37.66233333333333,1.6395341639622594
0.4903,132.232,2.0,0.0,-1.46,4.892091969493464,17485.301824,2312116.430791168,0.24039409,0.4903,0.7002142529254886,0.8612077577594819,0.3333333333333333,0.0,0.0,1,1,2,-0.21068,0.26,0.0648333496,0.0,0.9806,0.264464,1.694053870913095,False,False,False,False,False,True,False,False,False,False,False,False,-0.705508890831711,-1.0497482403618745,44.077333333333335,0.3705075114106944
1.9648,114.094,0.0,0.75,-2.0,4.745749185785255,13017.440835999998,1485211.8947425839,3.8604390400000006,1.9648,1.4017132374348187,0.0,1.0,75.0,1.4736,1,1,2,-0.428462,0.075,0.2241718912,85.5705,0.0,0.0,0.4843084075939558,False,False,False,False,False,True,False,False,False,False,False,False,-0.882257202102523,-0.2595565105194837,114.094,1.7205807660647674
3.456640000000002,156.22799999999998,0.0,0.8333333333333334,-4.29,5.057696981182494,24407.187983999993,3813086.1643643505,11.948360089600014,3.456640000000002,1.8592041308043616,0.0,1.0,83.33333333333334,2.880533333333335,1,1,2,-0.7092904000000002,0.04999999999999999,0.5400239539200002,130.19,0.0,0.0,0.28116424490530373,False,False,False,False,False,False,True,False,False,False,False,False,-0.4716764684447663,0.5399278097572702,156.22799999999998,2.211145796018629
1.503,168.10799999999995,2.0,0.5,-2.29,5.130537564069932,28260.299663999984,4750782.455915707,2.259009,1.503,1.225969004502153,0.7459680427290496,0.3333333333333333,50.0,0.7515,1,1,2,-0.40858799999999995,0.10999999999999999,0.2526663239999999,84.05399999999997,3.006,0.3362159999999999,0.6238303181534622,False,False,False,False,False,True,False,False,False,False,False,False,-0.3559101249726503,-0.5070373791808714,56.03599999999998,0.8935365737658141
1.0978,110.11199999999998,0.0,0.75,-0.17,4.710538701613918,12124.652543999995,1335069.7409249274,1.2051648400000003,1.0978,1.0477595143924965,0.0,1.0,75.0,0.82335,1,1,2,-0.28576,0.075,0.12088095359999998,82.58399999999999,0.0,0.0,0.8348639171814993,False,False,False,False,False,True,False,False,False,False,False,False,-0.9210603653774363,-0.7241860322375934,110.11199999999998,0.9960802816390233
1.8926,80.12999999999998,0.0,0.0,-2.06,4.396052806406973,6420.816899999997,514500.05819699966,3.58193476,1.8926,1.3757179943578552,0.0,1.0,0.0,0.0,1,1,2,-0.382946,0.3,0.15165403799999996,0.0,0.0,0.0,0.501856870420556,False,False,False,False,False,True,False,False,False,False,False,False,-1.213224213018934,-0.29824884208585917,80.12999999999998,2.3589679670946038
3.2116000000000007,235.906,0.0,0.75,-4.07,5.467663437986268,55651.640836000006,13128555.983057417,10.314374560000005,3.2116000000000007,1.7920937475478231,0.0,1.0,75.0,2.4087000000000005,1,1,2,-0.749762,0.075,0.7576357096000002,176.92950000000002,0.0,0.0,0.30196883681604053,True,False,False,False,False,False,True,False,False,False,False,False,0.304757093438339,0.40860968057410274,235.906,1.3608128606899828
2.993400000000001,147.00400000000002,0.0,0.75,-3.27,4.997239300425918,21610.176016000005,3176782.315056065,8.960443560000007,2.993400000000001,1.7301445026355462,0.0,1.0,75.0,2.245050000000001,1,1,2,-0.6259480000000002,0.075,0.44004177360000024,110.25300000000001,0.0,0.0,0.32326889506691653,False,False,False,False,False,True,False,False,False,False,False,False,-0.5615610435446651,0.291675238084032,147.00400000000002,2.03488688274962
2.811400000000001,134.22199999999998,2.0,0.6,-3.75,4.906917872264583,18015.545283999996,2418082.519109047,7.903969960000005,2.811400000000001,1.676722994414999,0.8538907532170336,0.3333333333333333,60.0,1.6868400000000003,1,1,2,-0.5840460000000001,0.07999999999999999,0.37735173080000006,80.53319999999998,5.622800000000002,0.26844399999999996,0.3434773648416568,False,False,False,False,False,True,False,False,False,False,False,False,-0.686117053835961,0.1941405518640826,44.74066666666666,2.093030181206356
1.9648,114.094,0.0,0.75,-1.97,4.745749185785255,13017.440835999998,1485211.8947425839,3.8604390400000006,1.9648,1.4017132374348187,0.0,1.0,75.0,1.4736,1,1,2,-0.428462,0.075,0.2241718912,85.5705,0.0,0.0,0.4843084075939558,False,False,False,False,False,True,False,False,False,False,False,False,-0.882257202102523,-0.2595565105194837,114.094,1.7205807660647674
3.456640000000002,156.228,0.0,0.8333333333333334,-4.14,5.057696981182494,24407.187984000004,3813086.164364353,11.948360089600014,3.456640000000002,1.8592041308043616,0.0,1.0,83.33333333333334,2.880533333333335,1,1,2,-0.7092904000000003,0.04999999999999999,0.5400239539200002,130.19000000000003,0.0,0.0,0.28116424490530373,False,False,False,False,False,False,True,False,False,False,False,False,-0.471676468444766,0.5399278097572702,156.228,2.211145796018629
1.503,168.10799999999995,2.0,0.5,-3.39,5.130537564069932,28260.299663999984,4750782.455915707,2.259009,1.503,1.225969004502153,0.7459680427290496,0.3333333333333333,50.0,0.7515,1,1,2,-0.40858799999999995,0.10999999999999999,0.2526663239999999,84.05399999999997,3.006,0.3362159999999999,0.6238303181534622,False,False,False,False,False,True,False,False,False,False,False,False,-0.3559101249726503,-0.5070373791808714,56.03599999999998,0.8935365737658141
1.7485,68.119,2.0,0.0,-2.09,4.235829656798551,4640.198161,316085.658529159,3.05725225,1.7485,1.3223085872821063,1.1896335333900392,0.3333333333333333,0.0,0.0,1,1,2,-0.347879,0.26,0.1191060715,0.0,3.497,0.136238,0.5409791723018663,False,False,False,False,False,True,False,False,False,False,False,False,-1.3302671045545895,-0.37547273375780804,22.706333333333333,2.563068939738196
3.456640000000002,156.228,0.0,0.8333333333333334,-4.678999999999999,5.057696981182494,24407.187984000004,3813086.164364353,11.948360089600014,3.456640000000002,1.8592041308043616,0.0,1.0,83.33333333333334,2.880533333333335,1,1,2,-0.7092904000000003,0.04999999999999999,0.5400239539200002,130.19000000000003,0.0,0.0,0.28116424490530373,False,False,False,False,False,False,True,False,False,False,False,False,-0.471676468444766,0.5399278097572702,156.228,2.211145796018629
2.1386000000000003,82.14599999999999,3.0,0.0,-2.68,4.4205980986489815,6747.965315999998,554318.3588481357,4.5736099600000015,2.1386000000000003,1.4623952953972466,1.6470304041812613,0.25,0.0,0.0,1,1,2,-0.42432200000000003,0.24,0.1756774356,0.0,6.415800000000001,0.24643799999999996,0.44670776378093446,False,False,False,False,False,True,False,False,False,False,False,False,-1.1935790153388173,-0.1664162442281255,20.536499999999997,2.6002480363786695
2.7830000000000004,180.21,0.0,1.0,-2.68,5.199656579724066,32475.6441,5852435.823261001,7.745089000000002,2.7830000000000004,1.6682325976913412,0.0,1.0,100.0,2.7830000000000004,1,1,2,-0.6254900000000001,0.0,0.5015244300000001,180.21,0.0,0.0,0.34686090877558096,True,False,False,False,False,True,False,False,False,False,False,False,-0.2379804710417109,0.17892085357481557,180.21,1.5434529421551775
2.7441000000000013,154.253,0.0,0.0,-1.74,5.045056044298386,23793.988008999997,3670294.032352276,7.530084810000007,2.7441000000000013,1.6565325230734231,0.0,1.0,0.0,0.0,1,1,2,-0.5933090000000003,0.3,0.4232856573000001,0.0,0.0,0.0,0.35160507717731426,False,False,False,False,False,True,False,False,False,False,False,False,-0.4909221358149203,0.1580741541574753,154.253,1.7778080115060941
4.269300000000004,302.4580000000001,0.0,0.0,-3.999,5.715243215420925,91480.84176400006,27669112.438255936,18.22692249000003,4.269300000000004,2.0662284481634656,0.0,1.0,0.0,0.0,1,1,2,-0.9855460000000007,0.3,1.2912839394000015,0.0,0.0,0.0,0.22886961298148426,True,False,False,False,False,False,True,False,False,False,False,False,0.9532824882831453,0.9754362608754247,302.4580000000001,1.4110682910384134
2.970200000000001,194.237,0.0,0.9333333333333332,-4.22,5.2742142051971435,37728.012169,7328175.899670052,8.822088040000006,2.970200000000001,1.7234268188698936,0.0,1.0,93.33333333333333,2.7721866666666672,1,1,2,-0.6694690000000002,0.020000000000000028,0.5769227374000002,181.28786666666664,0.0,0.0,0.32571168002084544,True,False,False,False,False,True,False,False,False,False,False,False,-0.10129238182593862,0.27924224511533513,194.237,1.5283759654620588
2.0373,137.01999999999998,1.0,0.0,-2.43,4.927398602192456,18774.480399999997,2572479.304407999,4.15059129,2.0373,1.4273401836983362,0.4219053244451946,0.5,0.0,0.0,1,1,2,-0.462988,0.27999999999999997,0.279150846,0.0,2.0373,0.13701999999999998,0.46788003555888263,False,False,False,False,False,True,False,False,False,False,False,False,-0.658851546341434,-0.2207034074923061,68.50999999999999,1.4857788798133025
2.1814,137.01999999999998,2.0,0.0,-2.37,4.927398602192456,18774.480399999997,2572479.304407999,4.75850596,2.1814,1.4769563297538624,0.8438106488903891,0.3333333333333333,0.0,0.0,1,1,2,-0.486044,0.26,0.29889542799999996,0.0,4.3628,0.27403999999999995,0.4383273428596476,False,False,False,False,False,True,False,False,False,False,False,False,-0.658851546341434,-0.14347951582035737,45.673333333333325,1.5908693115519257
3.351700000000002,179.101,5.0,0.0,-4.43,5.193517804637345,32077.168201,5745052.901967301,11.233892890000012,3.351700000000002,1.8307648674802568,1.791466171744279,0.16666666666666666,0.0,0.0,1,1,2,-0.7153730000000003,0.19999999999999998,0.6002928217000003,0.0,16.75850000000001,0.895505,0.289712315670539,True,False,False,False,False,False,True,False,True,False,False,False,-0.2487872786941165,0.48368995276869065,29.850166666666667,1.8703578663065508
2.9616000000000016,165.074,4.0,0.0,-3.81,5.112433472157292,27249.425476000004,4498171.661025225,8.77107456000001,2.9616000000000016,1.7209299811439167,1.5090125776198344,0.2,0.0,0.0,1,1,2,-0.6389300000000002,0.21999999999999997,0.4888831584000003,0.0,11.846400000000006,0.660296,0.32662660047034214,False,False,False,False,False,True,False,False,False,False,False,False,-0.3854753679098888,0.27463346323900817,33.0148,1.793018271640816
3.6023000000000014,207.07,0.0,0.9090909090909092,-4.35,5.33787456154649,42877.984899999996,8878744.333243,12.97656529000001,3.6023000000000014,1.8979726025419865,0.0,1.0,90.90909090909092,3.2748181818181834,1,1,2,-0.7834380000000003,0.027272727272727247,0.7459282610000002,188.24545454545455,0.0,0.0,0.2701023687977743,True,False,False,False,False,False,True,False,False,False,False,False,0.023760605192383707,0.6179877130253897,207.07,1.7388135347782023
3.741800000000003,193.128,6.0,0.0,-5.06,5.268517735309517,37298.424384,7203370.10443315,14.001067240000024,3.741800000000003,1.9343732835210485,2.0468873666111733,0.14285714285714285,0.0,0.0,1,1,2,-0.7918160000000004,0.18,0.7226463504000006,0.0,22.45080000000002,1.158768,0.2602946535478159,True,False,False,False,False,False,True,False,True,False,False,False,-0.11209918947834419,0.6927464422983737,27.589714285714283,1.9364688347444488
